book_name,grade,toc_page,lecture_no,title,category,related_lecture,track,source_text
竞赛数学导引 四年级,4,15,16,横式问题,数字谜问题,7,高思导引,第16讲 | 横式问题 | （数字谜问题第7讲）
竞赛数学导引 四年级,4,15,17,格点与割补,几何问题,5,高思导引,第17讲 | 格点与割补 | （几何问题第5讲）… | 101(答273)
竞赛数学导引 四年级,4,15,18,行程问题二,,,高思导引,第18讲 | 行程问题二 | （应用题第14讲） | 108（答282）
竞赛数学导引 四年级,4,15,19,行程问题三,,,高思导引,第19讲 | 行程问题三 | （应用题第15讲） | ..114(答290)
竞赛数学导引 四年级,4,15,20,幻方与数阵图扩展,数字谜问题,8,高思导引,第20讲 | 幻方与数阵图扩展 | （数字谜问题第8讲）.….…120（答303）
竞赛数学导引 四年级,4,15,21,排列组合,计数问题,4,高思导引,第21讲 | 排列组合 | （计数问题第4讲）. | .127(答313)
竞赛数学导引 四年级,4,15,22,计数综合一,计数问题,5,高思导引,第22讲 | 计数综合一 | （计数问题第5讲） | 132(答317)
竞赛数学导引 四年级,4,15,23,最值问题一,组合问题,5,高思导引,第23讲 | 最值问题一 | （组合问题第5讲）… | 137(答325)
竞赛数学导引 四年级,4,15,24,逻辑推理一,组合问题,6,高思导引,第24讲 | 逻辑推理一 | （组合问题第6讲）.·. | .142(答330) | 参考答案
竞赛数学导引 五年级,5,13,1,分数计算与比较大小,计算问题,9,高思导引,第1讲 | 分数计算与比较大小 | （计算问题第9讲） | 1(答158)
竞赛数学导引 五年级,5,13,2,整除,数论问题,1,高思导引,第2讲 | 整除 | （数论问题第1讲） | 7(答162)
竞赛数学导引 五年级,5,13,3,质数与合数,数论问题,2,高思导引,第3讲 | 质数与合数 | （数论问题第2讲） | 13(答166)
竞赛数学导引 五年级,5,13,4,包含与排除,计数问题,6,高思导引,第4讲 | 包含与排除 | (计数问题第6讲） | 19(答171)
竞赛数学导引 五年级,5,13,5,行程问题四,,,高思导引,第5讲 | 行程问题四 | （应用题第16讲）… | .26(答176)
竞赛数学导引 五年级,5,13,6,几何计数,计数问题,7,高思导引,第6讲 | 几何计数 | （计数问题第7讲） | .34(答182)
竞赛数学导引 五年级,5,13,7,约数与倍数,数论问题,3,高思导引,第7讲 | 约数与倍数 | （数论问题第3讲）
竞赛数学导引 五年级,5,13,8,分数与循环小数,计算问题,10,高思导引,第8讲 | 分数与循环小数 | （计算问题第10讲）.46（答194)
竞赛数学导引 五年级,5,13,9,比较与估算,计算问题,11,高思导引,第9讲 | 比较与估算 | （计算问题第11讲）...51（答199)
竞赛数学导引 五年级,5,13,10,数字谜综合一,数字谜问题,9,高思导引,第10讲 | 数字谜综合一 | （数字谜问题第9讲）
竞赛数学导引 五年级,5,13,11,和差倍分问题,,,高思导引,第11讲 | 和差倍分问题 | （应用题第17讲） | 63(答208) | 目录 | 1
竞赛数学导引 五年级,5,14,12,应用题拓展,,,高思导引,第12讲 | 应用题拓展 | （应用题第18讲）· | 70(答213)
竞赛数学导引 五年级,5,14,13,计算综合一,计算问题,12,高思导引,第13讲 | 计算综合一 | （计算问题第12讲）..........77（答218）
竞赛数学导引 五年级,5,14,14,直线形计算二,几何问题,6,高思导引,第14讲 | 直线形计算二 | （几何问题第6讲） | ........84（答22
竞赛数学导引 五年级,5,14,15,圆与扇形,几何问题,7,高思导引,第15讲 | 圆与扇形 | （几何问题第7讲） | ....93（答227)
竞赛数学导引 五年级,5,14,16,余数,数论问题,4,高思导引,第16讲 | 余数 | （数论问题第4讲）.
竞赛数学导引 五年级,5,14,17,工程问题,,,高思导引,第17讲 | 工程问题 | （应用题第19讲） | 106(答239)
竞赛数学导引 五年级,5,14,18,牛吃草问题与钟表问题,,,高思导引,第18讲 | 牛吃草问题与钟表问题 | （应用题第20讲） | *++++. | 114(答244)
竞赛数学导引 五年级,5,14,19,直线形计算三,几何问题,8,高思导引,第19讲 | 直线形计算三 | （几何问题第8讲） | 121(答249)
竞赛数学导引 五年级,5,14,20,行程问题五,,,高思导引,第20讲 | 行程问题五 | （应用题第21讲） | 129(答252)
竞赛数学导引 五年级,5,14,21,数字问题,数字谜问题,10,高思导引,第21讲 | 数字问题 | （数字谜问题第10讲） | 137(答257)
竞赛数学导引 五年级,5,14,22,计数综合二,计数问题,8,高思导引,第22讲 | 计数综合二 | （计数问题第8讲）.…..· | .....142(答264)
竞赛数学导引 五年级,5,14,23,构造论证一,组合问题,7,高思导引,第23讲 | 构造论证一 | （组合问题第7讲）.........147（答271）
竞赛数学导引 五年级,5,14,24,抽屉原理二,组合问题,8,高思导引,第24讲 | 抽屉原理二 | （组合问题第8讲）.. | .153（答277) | 参考答案
竞赛数学导引 六年级,6,13,1,分数数列计算,计算问题,13,高思导引,第1讲 | 分数数列计算 | （计算问题第13讲） | 1(答161)
竞赛数学导引 六年级,6,13,2,计算综合二,计算问题,14,高思导引,第2讲 | 计算综合二 | (计算问题第14讲） | 6(答165)
竞赛数学导引 六年级,6,13,3,比例解应用题,,,高思导引,第3讲 | 比例解应用题 | （应用题第22讲） | 13(答170)
竞赛数学导引 六年级,6,13,4,方程解应用题,,,高思导引,第4讲 | 方程解应用题 | （应用题第23讲） | ...... | 20(答175)
竞赛数学导引 六年级,6,13,5,浓度问题与经济问题,,,高思导引,第5讲 | 浓度问题与经济问题 | （应用题第24讲） | 27(答182)
竞赛数学导引 六年级,6,13,6,逻辑推理二,组合问题,9,高思导引,第6讲 | 逻辑推理二 | （组合问题第9讲）.… | 34(答187)
竞赛数学导引 六年级,6,13,7,最值问题二,组合问题,10,高思导引,第7讲 | 最值问题二 | (组合问题第10讲） | ............... | 42（答195）
竞赛数学导引 六年级,6,13,8,不定方程,,,高思导引,第8讲 | 不定方程 | （应用题第25讲） | 48（答200)
